slug,original_file_name,expected_program_from_file,internal_program_values,risk_level,records,unique_beneficiary_names,exact_duplicate_records_involved,duplicate_name_records_involved,missing_act_number_records,unique_act_numbers,year_mismatch_records,program_name_mismatch,capital_semilla_file_with_pioneras_program,nominal_male_first_name_records,organization_like_records,no_aplica_name_field_rate,anomaly_notes
digitaliza-tu-almacen-2025,Digitaliza tu almacén 2025.csv,Digitaliza Tu Almacén,Digitaliza Tu Almacén,Medio,410,408,2,4,0,16,0,False,False,57,117,1.0,2 registros integran duplicados exactos. | 4 registros comparten Razón social normalizada dentro del mismo archivo.
crece-fondo-desarrollo-negocios-2025,Crece; Fondo de desarrollo de negocios.csv,Crece,Crece,Medio,1006,1006,0,0,0,19,0,False,False,97,721,1.0,Sin duplicados exactos ni campos de acto vacíos; mantiene falla estructural por ausencia de columnas críticas.
ruta-digital-2025,Ruta Digital 2025.csv,Formación Empresarial Ruta Digital,Formación Empresarial Ruta Digital,Alto,690,615,0,150,0,18,0,False,False,54,513,1.0,150 registros comparten Razón social normalizada dentro del mismo archivo.
promocion-canales-comercializacion-2025,Promoción y canales de comercialización.csv,Promoción y Canales de Comercialización,Promoción y Canales de Comercialización,Medio,626,614,0,24,0,19,0,False,False,36,433,1.0,24 registros comparten Razón social normalizada dentro del mismo archivo.
capital-semilla-emprende-2025-archivo-pioneras,"Capital Semilla Emprende 2025 (aparece en el documento como nombre Capital Pioneras Emprende y además tiene hombres, comparar vs Capital Pioneras Emprende por duplicación o mas irregularidades.csv",Capital Semilla Emprende,Capital Pioneras Emprende,Crítico,546,546,0,0,0,19,0,True,True,198,1,1.0,"Archivo/portal rotulado como Capital Semilla, pero campo Nombre Programa contiene Capital Pioneras Emprende. | 198 registros con primer nombre nominalmente masculino en programa declarado para mujeres."
capital-abeja-emprende-2025,Capital abeja emprende 2025.csv,Capital Abeja Emprende,Capital Abeja Emprende,Crítico,933,899,68,68,933,0,0,False,False,0,3,1.0,68 registros integran duplicados exactos. | 68 registros comparten Razón social normalizada dentro del mismo archivo. | 933 registros sin Número de acto.
mejora-negocios-2025,Mejora Negocios 2025.csv,Mejora Negocios,Mejora Negocios,Medio,100,99,2,2,0,1,0,False,False,1,89,1.0,2 registros integran duplicados exactos. | 2 registros comparten Razón social normalizada dentro del mismo archivo.
crece-sostenible-2025,Crece Sostenible 2025.csv,Crece Sostenible,Crece Sostenible,Medio,380,380,0,0,0,16,0,False,False,41,269,1.0,Sin duplicados exactos ni campos de acto vacíos; mantiene falla estructural por ausencia de columnas críticas.
capital-pioneras-emprende-2025,Capital Pioneras Emprende 2025 (comparar vs Capital Semilla Emprende 2025).csv,Capital Pioneras Emprende,Capital Pioneras Emprende,Alto,314,314,0,0,0,16,5,False,False,0,0,1.0,5 registros con Año distinto al año de Fecha otorgamiento.
pymes-globales-2025,Pymes Globales 2025.csv,Pymes Globales,Pymes Globales,Medio,25,25,0,0,0,1,0,False,False,2,20,1.0,Sin duplicados exactos ni campos de acto vacíos; mantiene falla estructural por ausencia de columnas críticas.
negocios-digitales-2025,Negocios Digitales 2025.csv,Negocios Digitales,Negocios Digitales,Medio,78,78,0,0,0,1,0,False,False,4,65,1.0,Sin duplicados exactos ni campos de acto vacíos; mantiene falla estructural por ausencia de columnas críticas.
